English (en)	Dutch (nl) Annaïs	PoS-tag (Penn Treebank)	Positive	Negative	Anger	Anticipation	Disgust	Fear	Joy	Sadness	Surprise	Trust
dominating	dominerende	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
domination	overheersing	NN (Noun, singular or mass)	0	1	1	0	0	1	0	1	0	0
dominion	heerschappij	NN (Noun, singular or mass)	0	0	0	0	0	1	0	0	0	1
domino	domino	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
don	don	FW (Foreign word)	1	0	0	0	0	0	0	0	0	1
donation	schenking	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
donkey	ezel	NN (Noun, singular or mass)	0	1	0	0	1	0	0	0	0	0
donor	schenker	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doodle	tekening	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
doom	noodlot	NN (Noun, singular or mass)	0	1	0	0	0	1	0	0	0	0
doomed	verdoemde	JJ (Adjective)	0	1	0	0	0	1	0	1	0	0
doomsday	dag des oordeels	NN (Noun, singular or mass)	0	1	1	1	1	1	0	1	0	0
door	deur	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doorbell	deurbel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doorway	deuropening	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dormant	slapend	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dormitory	slaapzaal	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dorsal	dorsaal	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dose	dosis	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dot	punt	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
double	dubbele	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
doubled	verdubbelde	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
doublet	doublet	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doubling	verdubbeling	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doubt	twijfel	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	0	1
doubtful	twijfelachtig	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
doubting	twijfelende	VBG (Verb, gerund or present participle)	0	1	0	0	0	0	0	0	0	0
doubtless	ongetwijfeld	RB (Adverb)	1	0	0	0	0	0	0	0	0	1
douche	douche	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
dough	deeg	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doughnut	donut	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dour	streng	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
dove	duif	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
downcast	neerslachtig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
downfall	val	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	0	0
downhill	bergafwaarts	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
downpour	stortbui	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
downright	ronduit	RB (Adverb)	0	0	0	0	0	0	0	0	0	1
downy	donsachtig	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
dowry	bruidschat	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
doze	dommelen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dozen	dozijn	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drab	saai	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
draft	ontwerp	NN (Noun, singular or mass)	0	0	0	1	0	0	0	0	0	0
drag	slepen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dragon	draak	NN (Noun, singular or mass)	0	0	0	0	0	1	0	0	0	0
drain	draineren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
drainage	riolering	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drained	gedraineerd	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
drake	mannetjeseend	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drama	drama	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dramatic	dramatisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
drape	draperen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
drapery	draperie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drastic	drastisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
draught	diepgang	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
draw	trek	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drawback	nadeel	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drawer	lade	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drawers	onderbroek	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
drawing	tekening	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dread	vrezen	VB (Verb, base form)	0	1	0	1	0	1	0	0	0	0
dreadful	vreselijk	JJ (Adjective)	0	1	1	1	1	1	0	1	0	0
dreadfully	vreselijk	RB (Adverb)	0	1	0	0	1	1	0	1	1	0
dream	droom	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dreamer	dromer	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dreaming	dromen	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
dreamy	dromerig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dreary	somber	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
dredge	baggermachine	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drenched	doorweekt	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
dresser	dressoir	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dribble	dribbelen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dried	droog	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
drier	droger	JJR (Adjective, comparative)	0	0	0	0	0	0	0	0	0	0
drift	drift	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drifted	dreef	VBD (Verb, past tense)	0	0	0	0	0	0	0	0	0	0
drill	boren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
drink	drinken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
drinking	drinken	VBG (Verb, gerund or present participle)	0	1	0	0	0	0	0	0	0	0
drip	druppelen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dripping	druipen	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
drivel	gewauwel	NN (Noun, singular or mass)	0	1	0	0	1	0	0	0	0	0
driver	bestuurder	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
driveway	pad	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drizzle	motregen	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
droll	koddig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
drone	dar	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drool	kwijlen	VB (Verb, base form)	0	0	0	0	1	0	0	0	0	0
drooping	hangende	VBG (Verb, gerund or present participle)	0	1	0	0	0	0	0	0	0	0
drop	laten vallen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
droplet	druppel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drought	droogte	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drove	kudde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drown	verdrinken	VB (Verb, base form)	0	1	0	0	0	1	0	1	0	0
drowsiness	slaperigheid	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drowsy	slaperig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
drudgery	gezwoeg	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
drug	drug	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drugged	gedrogeerd	JJ (Adjective)	0	0	0	0	0	0	0	1	0	0
drugstore	apotheek	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
druid	druïde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drum	trommel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drummer	trommelaar	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
drumming	drummen	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
drunken	dronken	JJ (Adjective)	0	1	0	0	1	0	0	0	0	0
drunkenness	dronkenschap	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
dry	droog	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dryness	droogheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dual	tweevoudig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dualism	dualisme	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
duality	tweevoudigheid	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dub	dubben	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dubious	twijfelachtig	JJ (Adjective)	0	1	0	0	0	1	0	0	0	1
ducking	duiken	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
duct	kanaal	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ductile	buigzaam	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
duds	vodden	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
due	ten gevolge	IN (Preposition or subordinating conjunction)	0	0	0	0	0	0	0	0	0	0
duel	duel	NN (Noun, singular or mass)	0	0	1	1	0	1	0	0	0	0
dues	contributie	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
duet	duet	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
dugout	schuilhol	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
duke	hertog	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
dull	dof	JJ (Adjective)	0	1	0	0	0	0	0	1	0	0
dumb	stom	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
dummy	pop	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
dump	stortplaats	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dumps	stortplaatsen	NNS (Noun, plural)	0	1	1	0	0	0	0	1	0	0
dun	manen	VB (Verb, base form)	0	1	0	0	0	0	0	0	0	0
dune	duin	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dung	mest	NN (Noun, singular or mass)	0	0	0	0	1	0	0	0	0	0
dungeon	kerker	NN (Noun, singular or mass)	0	1	0	0	0	1	0	0	0	0
duo	duo	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dupe	dupe	NN (Noun, singular or mass)	0	1	1	0	0	0	0	0	0	0
duplex	tweezijdig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
duplicate	duplicaat	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
duplication	verdubbeling	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
duplicity	dubbelhartigheid	NN (Noun, singular or mass)	0	1	1	0	0	0	0	0	0	0
durability	duurzaamheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
durable	duurzaam	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
duration	looptijd	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
duress	dwang	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	0	0
dusk	schemer	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dusky	schemerig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dust	stof	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
duster	stofdoek	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dusty	stoffig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dutiful	plichtmatig	JJ (Adjective)	1	0	0	1	0	0	0	0	0	1
dwarf	dwerg	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dwarfed	klein deed lijken	VBD (Verb, past tense)	0	1	0	0	0	1	0	1	0	0
dwell	wonen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
dweller	bewoner	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dwelling	woning	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dye	verfstof	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dying	stervende	VBG (Verb, gerund or present participle)	0	1	1	0	1	1	0	1	0	0
dyke	dijk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dynamic	dynamisch	JJ (Adjective)	0	0	0	0	0	0	0	0	1	0
dynamical	dynamische	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
dynamics	dynamica	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
dynamite	dynamiet	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dynasty	dynastie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
dysentery	dysenterie	NN (Noun, singular or mass)	0	1	0	0	1	0	0	1	0	0
dyspepsia	indigestie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eager	gretig	JJ (Adjective)	1	0	0	1	0	0	1	0	1	1
eagerness	gretigheid	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
eagle	adelaar	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
ear	oor	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
earl	graaf	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
earlier	vroeger	JJR (Adjective, comparative)	0	0	0	0	0	0	0	0	0	0
early	vroeg	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
earn	verdienen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
earnest	ernstig	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
earnestly	ernstig	RB (Adverb)	1	0	0	0	0	0	0	0	0	0
earnestness	ernst	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
earnings	verdiensten	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
earring	oorbel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
earshot	gehoorsafstand	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
earth	aarde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
earthenware	aardewerk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
earthly	aards	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
earthquake	aardbeving	NN (Noun, singular or mass)	0	1	1	0	0	1	0	1	1	0
earthy	aardsgezind	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
ease	gemak	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
easel	ezel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
easement	servituut	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
easily	gemakkelijk	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
easy	gemakkelijk	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
easygoing	ontspannen	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
eat	eten	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
eating	aan het eten	VBG (Verb, gerund or present participle)	0	0	0	0	0	0	0	0	0	0
eavesdropping	afluisteren	VBG (Verb, gerund or present participle)	0	1	0	0	0	0	0	0	0	0
ebb	eb	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ebony	ebbehout	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eccentric	excentriek	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
eccentricity	excentriciteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ecclesiastical	kerkelijk	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
echo	echo	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eclectic	eclectisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
eclipse	verduistering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ecliptic	ecliptica	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
economical	zuinig	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
economics	economie	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
economy	economie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
ecstasy	extase	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	0
ecstatic	extatisch	JJ (Adjective)	1	0	0	1	0	0	1	0	1	0
ecumenical	oecumenische	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
eddy	draaikolk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
edge	rand	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
edging	rand	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
edible	eetbaar	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
edict	edict	NN (Noun, singular or mass)	0	1	0	0	0	1	0	0	0	0
edification	stichting	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
edifice	gebouw	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
edit	Bewerk	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
edition	editie	NN (Noun, singular or mass)	0	0	0	1	0	0	0	0	0	0
editor	editor	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
editorial	hoofdartikel	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
educate	onderwijzen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	0
educated	geleerd	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
education	onderwijs	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
educational	leerzaam	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
eel	paling	NN (Noun, singular or mass)	0	0	0	0	0	1	0	0	0	0
effect	effect	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
effective	effectief	JJ (Adjective)	1	0	0	0	0	0	0	0	0	1
effects	bijwerkingen	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
effectual	doeltreffend	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
effectually	krachtdadig	RB (Adverb)	0	0	0	0	0	0	0	0	0	0
effectuate	bewerkstelligen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
effeminate	verwijfd	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
efficacious	effectief	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
efficacy	werkzaamheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
efficiency	rendement	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
efficient	doeltreffend	JJ (Adjective)	1	0	0	1	0	0	0	0	0	1
effigy	beeltenis	NN (Noun, singular or mass)	0	0	1	0	0	0	0	0	0	0
effort	inspanning	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
effusion	uitstorting	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
egg	ei	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ego	ego	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
egotistical	egoïstische	JJ (Adjective)	0	1	0	0	1	0	0	0	0	0
egregious	flagrante	JJ (Adjective)	0	1	1	0	1	0	0	0	0	0
egress	uitgang	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eighth	achtste	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
eighty	tachtig	CD (Cardinal number)	0	0	0	0	0	0	0	0	0	0
ejaculate	ejaculaat	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ejaculation	ejaculatie	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	1	1
eject	uitwerpen	VB (Verb, base form)	0	1	0	0	0	0	0	0	0	0
ejection	uitwerping	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
elaborate	uitwerken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
elaboration	uitwerking	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
elan	elan	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elapse	verstrijken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
elapsed	verstreken	VBN (Verb, past participle)	0	0	0	0	0	0	0	0	0	0
elastic	elastisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
elasticity	elasticiteit	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elated	opgetogen	JJ (Adjective)	1	0	0	0	0	0	1	0	0	0
elbow	elleboog	NN (Noun, singular or mass)	0	0	1	0	0	0	0	0	0	0
eld	eld		0	0	0	0	0	0	0	0	0	0
elder	ouderling	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
elderly	ouderen	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elders	oudsten	NNS (Noun, plural)	1	0	0	0	0	0	0	0	0	1
eldest	oudste	JJS (Adjective, superlative)	0	0	0	0	0	0	0	0	0	0
elect	kiezen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	1
election	verkiezing	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elector	kiezer	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
electorate	kiezersvolk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	1
electric	elektrisch	JJ (Adjective)	1	0	0	0	0	0	1	0	1	0
electricity	elektriciteit	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
elegance	elegantie	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
elegant	elegant	JJ (Adjective)	1	0	0	0	0	0	1	0	0	0
element	element	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elementary	elementair	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
elements	elementen	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
elephant	olifant	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elevate	verheffen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
elevation	verhoging	NN (Noun, singular or mass)	1	0	0	1	0	1	1	0	0	1
elevator	lift	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eleven	elf	CD (Cardinal number)	0	0	0	0	0	0	0	0	0	0
eleventh	elfde	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
elf	elf	NN (Noun, singular or mass)	0	0	1	0	1	1	0	0	0	0
elicit	uitlokken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
eligible	in aanmerking komende	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
elimination	eliminatie	NN (Noun, singular or mass)	0	1	1	0	1	1	0	1	0	0
elite	de elite	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	1
elk	eland	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ell	el	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ellipse	ellips	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ellipsis	ellips	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
ellipsoid	ellipsoïde	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elliptic	elliptisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
elliptical	elliptisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
elongate	verlengen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
elongation	verlenging	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eloquence	welsprekendheid	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	0
eloquent	welsprekend	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
elucidate	ophelderen	VB (Verb, base form)	1	0	0	0	0	0	0	0	0	1
elucidation	opheldering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
elude	ontwijken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
elusive	ontwijkend	JJ (Adjective)	0	1	0	0	0	0	0	0	1	0
emaciated	uitgehongerd	JJ (Adjective)	0	1	0	0	0	1	0	1	0	0
emanate	voortkomen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
emancipation	emancipatie	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	0	0
embankment	dijk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embargo	embargo	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
embark	inschepen	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
embarrass	in verlegenheid brengen	VB (Verb, base form)	0	1	0	0	0	0	0	1	0	0
embarrassing	gênant	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
embarrassment	verlegenheid	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	1	0
embassy	ambassade	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embed	verankeren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
embellish	verfraaien	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
embellishment	versiering	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embers	sintels	NNS (Noun, plural)	0	0	0	0	0	0	0	0	0	0
embezzlement	verduistering	NN (Noun, singular or mass)	0	1	0	0	0	0	0	0	0	0
emblem	embleem	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
emblematic	emblematisch	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
embodiment	belichaming	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embolism	embolie	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	0	0
embossed	versierd	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
embrace	omhelzing	NN (Noun, singular or mass)	1	0	0	1	0	0	1	0	1	1
embroidered	geborduurde	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
embroidery	borduurwerk	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embroiled	verwikkeld	JJ (Adjective)	0	1	0	0	0	0	0	0	0	0
embryo	embryo	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
embryonic	embryonale	JJ (Adjective)	0	0	0	0	0	0	0	0	0	0
emerald	smaragd	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
emerge	opduiken	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
emergence	verschijning	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
emergency	noodgeval	NN (Noun, singular or mass)	0	1	0	0	0	1	0	1	1	0
emeritus	emeritus	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
emigrate	emigreren	VB (Verb, base form)	0	0	0	0	0	0	0	0	0	0
emigration	emigratie	NN (Noun, singular or mass)	0	0	0	0	0	0	0	0	0	0
eminence	eminentie	NN (Noun, singular or mass)	1	0	0	0	0	0	0	0	0	1
eminent	eminent	JJ (Adjective)	1	0	0	0	0	0	0	0	0	0
